Designator,Footprint,Quantity,Value,LCSC Part #
BT1,AAA-HOLDER-THD,1,Battery,C5290191
"C10, C11, C12, C14, C17, C19, C3, C4, C6, C7, C8, C9",0603,12,100n, C478888 
"C13, C5",0603,2,1u,C302042 
"C15, C16",0603,2,27p,C107045
C18,0603,1,10u,C95839
"C2, C23",0603,2,22uF, C59461 
"C20, C21",0603,2,220p,C5255295 
C22,0603,1,10uF,C95839
"D101, D102, D15, D2, D3",D_SOD-123,5,D_Schottky, C5345965 
J1,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0, C2894897
J101,CONN-SMD_2P-P1.25_HC_HCZZ0001-2,1,Conn_01x02_Shielded,C7433453
J102,CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,1,Conn_01x02_Shielded,C295747
J103,PinSocket_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J2,J_sd_micro_socket,1,Micro_SD_Card_Det1,C7529389
J3,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03_MountingPin,C160403 
J6,OLED_SSD1306_128x32_0.91,1,Conn_01x04,
J7,PinHeader_2x06_P2.54mm_Vertical_SMD,1,Conn_02x06_Odd_Even,
L1,L_Wurth_WE-LQSH-2010,1,0.47uH,C89446
L101,L_Chilisin_BMRB00050512,1,0.47uH,C329374
Q2,SOT-23,1,AO3401A, C5380686 
R1,0603,1,511k,C2684557
R10,0402,1,1k,C11702 
"R101, R102, R15, R16",0603,4,4.7k,C99782
"R103, R14, R24, R3, R4",0603,5,0,C95177
"R11, R12",0402,2,27.4,C100354
R2,0603,1,91k,C5356711
R21,0603,1,1M,C3016422 
R5,0603,1,10k,C103199 
"R6, R7",0603,2,5.1k,C407575 
R9,0603,1,1k,C22548
RN1,R_Array_Convex_4x0402,1,4x1k,C11702 
RN2,R_Array_Convex_4x0402,1,R_Pack04_Split,C414600 
RV1,gear-dial-pot-3pin,1,R_Potentiometer,
"SW2, SW3, SW4, SW5, SW6",SW_SKRPACE010,5,SW_MEC_5E,C139797 
SW7,SS-3235S-L2,1,SW_Push_DPDT, C500056 
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C5181460 
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q32JVSS,C82344 
U5,QFN50P300X300X80-17N,1,MAX98357AETE_T, C910544 
U6,VREG_TPS63802DLAR,1,TPS63802DLAR,C2845237
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHZ,C5182760 
