Designator,Mid X,Mid Y,Rotation,Layer
BT1,43.843,-15.9432,180.0,bottom
C10,83.982,-50.6328,180.0,bottom
C11,71.7174,-41.0368,90.0,bottom
C12,78.324,-39.0302,90.0,bottom
C13,86.9538,-40.0488,180.0,bottom
C14,79.721,-59.1102,0.0,bottom
C15,70.7156,-50.058,0.0,bottom
C16,70.7116,-43.95,180.0,bottom
C17,83.1044,-64.3664,270.0,bottom
C18,77.5594,-30.4058,90.0,bottom
C19,75.9364,-30.4058,90.0,bottom
C2,86.5984,-79.0236,270.0,bottom
C20,78.1792,-26.0902,180.0,bottom
C21,81.8154,-26.0648,0.0,bottom
C22,72.72,-79.14,0.0,bottom
C23,72.21,-71.96,0.0,bottom
C3,85.1556,-48.205,270.0,bottom
C4,73.5462,-41.0252,90.0,bottom
C5,86.94,-41.7226,180.0,bottom
C6,81.8826,-39.3234,90.0,bottom
C7,83.5616,-39.3234,90.0,bottom
C8,86.7356,-48.2188,270.0,bottom
C9,77.562,-51.2238,0.0,bottom
D101,65.75,-52.825,90.0,bottom
D102,62.15,-56.65,0.0,bottom
D15,85.1224,-67.215,0.0,bottom
D2,83.305,-78.6826,180.0,bottom
D3,76.3904,-68.9204,180.0,bottom
J1,84.46,-92.56,0.0,bottom
J101,68.175,-31.2,0.0,bottom
J102,7.675,-26.975,0.0,bottom
J103,84.475,-16.725,0.0,top
J2,11.16,-87.1,180.0,bottom
J3,86.9508,-28.6178,270.0,bottom
J6,33.050711,-77.68929,90.0,top
J7,7.725,-11.675,0.0,bottom
L1,77.5,-75.75,90.0,bottom
L101,77.5,-75.75,270.0,bottom
Q2,76.4224,-81.287,180.0,bottom
R1,72.21,-73.52,0.0,bottom
R10,73.4106,-46.162,270.0,bottom
R101,42.425,-94.5,90.0,bottom
R102,40.820001,-94.5,90.0,bottom
R103,69.6,-79.15,180.0,bottom
R11,85.1616,-44.9326,0.0,bottom
R12,85.1616,-43.6982,0.0,bottom
R14,69.0996,-52.0026,0.0,bottom
R15,79.95,-14.8,270.0,bottom
R16,77.35,-17.525,270.0,bottom
R2,69.475,-76.02,270.0,bottom
R21,77.537,-33.613,90.0,bottom
R24,74.7822,-66.0488,90.0,bottom
R3,73.53,-81.53,90.0,bottom
R4,67.765,-76.01,90.0,bottom
R5,80.6012,-81.407,180.0,bottom
R6,80.6888,-83.4852,0.0,bottom
R7,88.2498,-82.9634,180.0,bottom
R9,74.1324,-58.988,0.0,bottom
RN1,5.796568,-77.847855,0.0,bottom
RN2,18.125,-73.675,90.0,bottom
RV1,8.177,-57.9102,270.0,bottom
SW2,85.9328,-60.987303,90.0,bottom
SW3,85.8984,-54.531897,90.0,bottom
SW4,23.5652,-89.062503,180.0,bottom
SW5,23.6652,-72.156703,180.0,bottom
SW6,23.6652,-80.609603,180.0,bottom
SW7,73.47,-90.7,180.0,bottom
U1,79.3334,-45.4829,180.0,bottom
U3,84.6038,-72.8906,90.0,bottom
U4,76.904,-55.128,90.0,bottom
U5,80.5962,-29.8022,90.0,bottom
U6,72.35,-76.05,180.0,bottom
Y1,70.6866,-47.006,270.0,bottom
